2024-10-01T07:53:32.004Z [INFO]: Starting polling every 5 seconds... 
2024-10-01T07:53:32.005Z [INFO]: Polling started... 
2024-10-01T07:53:32.050Z [INFO]: Fetched 203 stocks for processing. 
2024-10-01T07:53:32.050Z [INFO]: First stock document: {"$__":{"activePaths":{"paths":{"name":"init","sellPrice":"require","lastTradePrice":"require","buyPrice":"require","instrumentIdentifier":"require","exchange":"require","_id":"init","volume":"init","expiry":"init","product":"init","__v":"init","updatedAt":"init"},"states":{"require":{"sellPrice":true,"lastTradePrice":true,"buyPrice":true,"instrumentIdentifier":true,"exchange":true},"init":{"_id":true,"name":true,"volume":true,"expiry":true,"product":true,"__v":true,"updatedAt":true}}},"skipId":true},"$isNew":false,"_doc":{"_id":"669e0917987f5679187b09ca","Exchange":"MCX","InstrumentIdentifier":"FUTCOM_SILVERMIC_29NOV2024__0","BuyPrice":90958,"Close":90644,"High":91289,"Low":90762,"LastTradePrice":90950,"Open":90849,"QuotationLot":1,"SellPrice":90964,"BuyQty":1,"SellQty":2,"ltp_up":false,"name":"SILVERMIC","volume":0,"expiry":"2024-11-28T18:30:00.000Z","strike_price":"0.00","option_type":"","volume_up":false,"product":"SILVERMIC","OpenInterest":0,"TotalQtyTraded":0,"Value":0,"PreOpen":false,"PriceChange":306,"PriceChangePercentage":0.3364485981308411,"OpenInterestChange":0,"MessageType":"RealtimeResult","LastTradeTime":0,"ServerTime":0,"__v":0,"updatedAt":"2024-09-10T11:23:49.629Z"}}
2024-10-01T07:53:32.051Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.052Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.052Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.052Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.053Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.053Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.053Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.054Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.054Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.054Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.054Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.055Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.055Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.055Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.055Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.056Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.056Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.056Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.056Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.057Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.057Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.057Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.057Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.057Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.058Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.058Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.058Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.058Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.058Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.059Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.060Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
2024-10-01T07:53:32.060Z [INFO]: Processing stock with InstrumentIdentifier: undefined 
